序号,rectimestamp,sendtimestamp,时延毫秒,纬度,经度,海拔,速度km/h,锁星数,地面航向度,ID,msgCnt,TotalRcvMsgCount,TotalLostMsgCount,AID,Source_Layer2-ID,Dest MAC ID,Priority,Power(dBm),RSSI(dBm),SINR(dB),CBR(%),MCS,RSRP(dBm),EARFCN,Band,TB Size(bit),Modulation,Type,Label
1,1699941087293,1699941087529,-236.756,116.491163,39.728949,23.3,9.816,47,60.99,F66D578E2976FFFF,27,1,0,3619,8000001,7,8,-123,-93,-1,0,5,-123,55140,47,4264,QPSK,SPAT,normal
2,1699941087911,1699941088130,-219.73,116.491179,39.728956,23.3,9.816,47,60.99,696E636830303000,33,2,5,3619,8000001,7,8,-122,-92,0,0,5,-122,55140,47,4264,QPSK,SPAT,normal
3,1699941088216,1699941088431,-215.862,116.491187,39.72896,23.3,9.76,47,60.43,696E636830303000,36,3,7,3619,8000001,7,8,-123,-93,-1,0,5,-123,55140,47,4264,QPSK,SPAT,normal
4,1699941088915,1699941089134,-219.205,116.491206,39.728968,23.3,9.76,47,60.43,696E636830303000,43,4,13,3619,8000001,7,8,-124,-93,-1,0,5,-124,55140,47,4264,QPSK,SPAT,normal
5,1699941089313,1699941089536,-223.861,116.491217,39.728973,23.3,9.408,47,59.99,696E636830303000,47,5,16,3619,8000001,7,8,-120,-90,2,0,5,-120,55140,47,4264,QPSK,SPAT,normal
6,1699941089517,1699941089736,-219.646,116.491223,39.728975,23.3,9.408,47,59.99,696E636830303000,49,6,17,3619,8000001,7,8,-121,-91,1,0,5,-121,55140,47,4264,QPSK,SPAT,normal
7,1699941090015,1699941090237,-222.812,116.491237,39.72898,23.3,9.371,47,60.43,696E636830303000,54,7,21,3619,8000001,7,8,-122,-83,0,1,5,-122,55140,47,4264,QPSK,SPAT,normal
8,1699941090818,1699941091040,-222.118,116.491255,39.72899,23.3,9.371,47,60.43,696E636830303000,62,8,28,3619,8000001,7,8,-122,-90,0,0,5,-122,55140,47,4264,QPSK,SPAT,normal
9,1699941091521,1699941091741,-220.564,116.49127,39.728997,23.3,9.371,47,58.9,696E636830303000,69,9,34,3619,8000001,7,8,-120,-91,2,0,5,-120,55140,47,4264,QPSK,SPAT,normal
10,1699941091604,1699941091842,-238.15,116.491272,39.728998,23.3,9.371,47,58.9,696E636830303000,70,10,34,3619,8000001,7,8,-121,-88,1,0,5,-121,55140,47,4264,QPSK,SPAT,normal
11,1699941091822,1699941092042,-220.824,116.491278,39.729001,23.3,9.371,47,58.9,696E636830303000,72,11,35,3619,8000001,7,8,-122,-92,1,1,5,-122,55140,47,4264,QPSK,SPAT,normal
12,1699941091911,1699941092143,-232.655,116.491281,39.729002,23.3,9.371,47,58.9,696E636830303000,73,12,35,3619,8000001,7,8,-121,-92,1,1,5,-121,55140,47,4264,QPSK,SPAT,normal
13,1699941092224,1699941092444,-220.248,116.49129,39.729006,23.3,9.39,47,57.94,696E636830303000,76,13,37,3619,8000001,7,8,-125,-89,-3,0,5,-125,55140,47,4264,QPSK,SPAT,normal
14,1699941092324,1699941092560,-236.704,116.491293,39.729008,23.3,9.39,47,57.94,,77,14,37,3619,8000001,7,8,-117,-89,5,0,5,-117,55140,47,4264,QPSK,SPAT,normal
15,1699941092413,1699941092648,-235.043,116.491296,39.729009,23.3,9.39,47,57.94,696E636830303000,78,15,37,3619,8000001,7,8,-119,-90,4,1,5,-119,55140,47,4264,QPSK,SPAT,normal
16,1699941092509,1699941092744,-235.961,116.4913,39.729011,23.3,9.39,47,57.94,696E636830303000,79,16,37,3619,8000001,7,8,-120,-90,2,0,5,-120,55140,47,4264,QPSK,SPAT,normal
17,1699941093123,1699941093346,-223.945,116.491314,39.729017,23.3,9.316,47,59.16,696E636830303000,85,17,42,3619,8000001,7,8,-124,-93,-2,0,5,-124,55140,47,4264,QPSK,SPAT,normal
18,1699941093529,1699941093748,-219.036,116.491325,39.729022,23.3,9.316,47,59.16,696E636830303000,89,18,45,3619,8000001,7,8,-121,-91,2,0,5,-121,55140,47,4264,QPSK,SPAT,normal
19,1699941093830,1699941094048,-218.789,116.491331,39.729025,23.3,9.316,47,59.16,696E636830303000,92,19,47,3619,8000001,7,8,-123,-91,-1,1,5,-123,55140,47,4264,QPSK,SPAT,normal
20,1699941093911,1699941094149,-238.053,116.491333,39.729026,23.3,9.316,47,59.16,696E636830303000,93,20,47,3619,8000001,7,8,-122,-92,0,1,5,-122,55140,47,4264,QPSK,SPAT,normal
21,1699941094123,1699941094349,-226.883,116.491339,39.729029,23.3,9.167,47,60.11,696E636830303000,95,21,48,3619,8000001,7,8,-120,-91,3,0,5,-120,55140,47,4264,QPSK,SPAT,normal
22,1699941094547,1699941094761,-214.565,116.49135,39.729033,23.3,9.241,47,60.77,696E636830303000,99,22,51,3619,8000001,7,8,-122,-92,0,1,5,-122,55140,47,4264,QPSK,SPAT,normal
23,1699941094629,1699941094858,-229.589,116.491351,39.729033,23.3,9.241,47,60.77,,100,23,51,3619,8000001,7,8,-120,-90,3,1,5,-120,55140,47,4264,QPSK,SPAT,normal
24,1699941094712,1699941094953,-241.312,116.491354,39.729034,23.3,9.241,47,60.77,,101,24,51,3619,8000001,7,8,-118,-89,4,0,5,-118,55140,47,4264,QPSK,SPAT,normal
25,1699941095232,1699941095453,-221.175,116.491368,39.72904,23.3,9.167,47,60.11,696E636830303000,106,25,55,3619,8000001,7,8,-121,-91,2,0,5,-121,55140,47,4264,QPSK,SPAT,normal
26,1699941095420,1699941095654,-234.501,116.491373,39.729042,23.3,9.167,47,60.11,696E636830303000,108,26,56,3619,8000001,7,8,-119,-90,3,0,5,-119,55140,47,4264,QPSK,SPAT,normal
27,1699941095513,1699941095754,-241.112,116.491375,39.729043,23.3,9.167,47,60.11,,109,27,56,3619,8000001,7,8,-121,-91,1,0,5,-121,55140,47,4264,QPSK,SPAT,normal
28,1699941095618,1699941095854,-236.063,116.491378,39.729044,23.3,9.167,47,60.11,696E636830303000,110,28,56,3619,8000001,7,8,-120,-91,2,0,5,-120,55140,47,4264,QPSK,SPAT,normal
29,1699941096135,1699941096355,-220.33,116.49139,39.72905,23.2,9.038,47,60.26,696E636830303000,115,29,60,3619,8000001,7,8,-124,-93,-1,1,5,-124,55140,47,4264,QPSK,SPAT,normal
30,1699941096336,1699941096556,-220.084,116.491395,39.729052,23.2,8.982,47,62.66,,117,30,61,3619,8000001,7,8,-124,-93,-2,0,5,-124,55140,47,4264,QPSK,SPAT,normal
31,1699941096420,1699941096656,-236.545,116.491398,39.729054,23.2,9.038,47,60.26,696E636830303000,118,31,61,3619,8000001,7,8,-120,-91,2,0,5,-120,55140,47,4264,QPSK,SPAT,normal
32,1699941096521,1699941096756,-235.659,116.491401,39.729055,23.2,9.038,47,60.26,696E636830303000,119,32,61,3619,8000001,7,8,-123,-93,-1,0,5,-123,55140,47,4264,QPSK,SPAT,normal
33,1699941096621,1699941096857,-236.498,116.491405,39.729056,23.2,9.038,47,60.26,696E636830303000,120,33,61,3619,8000001,7,8,-120,-91,2,0,5,-120,55140,47,4264,QPSK,SPAT,normal
34,1699941096718,1699941096958,-240.724,116.491407,39.729057,23.2,9.038,47,60.26,696E636830303000,121,34,61,3619,8000001,7,8,-121,-91,1,0,5,-121,55140,47,4264,QPSK,SPAT,normal
35,1699941097541,1699941097760,-219.397,116.491428,39.729066,23.2,8.982,47,62.66,696E636830303000,2,35,69,3619,8000001,7,8,-123,-92,-1,2,5,-123,55140,47,4264,QPSK,SPAT,normal
36,1699941097838,1699941098060,-222.459,116.491435,39.729069,23.2,8.982,47,62.66,696E636830303000,5,36,71,3619,8000001,7,8,-124,-93,-2,2,5,-124,55140,47,4264,QPSK,SPAT,normal
37,1699941098035,1699941098261,-226.783,116.491441,39.729071,23.2,8.945,47,62.31,696E636830303000,7,37,72,3619,8000001,7,8,-119,-90,3,1,5,-119,55140,47,4264,QPSK,SPAT,normal
38,1699941098127,1699941098361,-234.23,116.491443,39.729072,23.2,8.945,47,62.31,696E636830303000,8,38,72,3619,8000001,7,8,-122,-92,0,1,5,-122,55140,47,4264,QPSK,SPAT,normal
39,1699941098444,1699941098664,-220.344,116.49145,39.729076,23.2,8.945,47,62.31,696E636830303000,11,39,74,3619,8000001,7,8,-121,-91,1,1,5,-121,55140,47,4264,QPSK,SPAT,normal
40,1699941098740,1699941098964,-224.16,116.491458,39.729079,23.1,8.908,47,60.51,,14,40,76,3619,8000001,7,8,-119,-90,3,1,5,-119,55140,47,4264,QPSK,SPAT,normal
41,1699941098826,1699941099063,-237.313,116.491461,39.729081,23.2,8.945,47,62.31,696E636830303000,15,41,76,3619,8000001,7,8,-121,-91,1,1,5,-121,55140,47,4264,QPSK,SPAT,normal
42,1699941099143,1699941099364,-221.175,116.491469,39.729084,23.1,8.834,47,59.62,696E636830303000,18,42,78,3619,8000001,7,8,-116,-88,6,2,5,-116,55140,47,4264,QPSK,SPAT,normal
43,1699941099223,1699941099464,-241.701,116.491471,39.729085,23.1,8.908,47,60.51,696E636830303000,19,43,78,3619,8000001,7,8,-118,-89,5,1,5,-118,55140,47,4264,QPSK,SPAT,normal
44,1699941099328,1699941099567,-239.876,116.491474,39.729086,23.1,8.908,47,60.51,696E636830303000,20,44,78,3619,8000001,7,8,-119,-90,3,1,5,-119,55140,47,4264,QPSK,SPAT,normal
45,1699941099428,1699941099666,-238.372,116.491477,39.729087,23.1,8.908,47,60.51,,21,45,78,3619,8000001,7,8,-119,-90,3,2,5,-119,55140,47,4264,QPSK,SPAT,normal
46,1699941099641,1699941099867,-226.129,116.491481,39.729089,23.1,8.908,47,60.51,696E636830303000,23,46,79,3619,8000001,7,8,-119,-90,3,1,5,-119,55140,47,4264,QPSK,SPAT,normal
47,1699941099730,1699941099965,-235.76,116.491483,39.72909,23.1,8.908,47,60.51,696E636830303000,24,47,79,3619,8000001,7,8,-117,-89,5,1,5,-117,55140,47,4264,QPSK,SPAT,normal
48,1699941099830,1699941100066,-236.362,116.491486,39.729091,23.1,8.908,47,60.51,,25,48,79,3619,8000001,7,8,-123,-92,0,1,5,-123,55140,47,4264,QPSK,SPAT,normal
49,1699941099930,1699941100166,-236.587,116.491489,39.729092,23.1,8.908,47,60.51,696E636830303000,26,49,79,3619,8000001,7,8,-120,-91,3,1,5,-120,55140,47,4264,QPSK,SPAT,normal
50,1699941100352,1699941100568,-216.42,116.491498,39.729096,23.1,8.834,47,59.62,696E636830303000,30,50,82,3619,8000001,7,8,-123,-92,-1,2,5,-123,55140,47,4264,QPSK,SPAT,normal
51,1699941100432,1699941100667,-235.958,116.4915,39.729097,23.1,8.834,47,59.62,696E636830303000,31,51,82,3619,8000001,7,8,-123,-92,-1,2,5,-123,55140,47,4264,QPSK,SPAT,normal
52,1699941100532,1699941100768,-236.771,116.491502,39.729098,23.1,8.834,47,59.62,696E636830303000,32,52,82,3619,8000001,7,8,-120,-90,3,1,5,-120,55140,47,4264,QPSK,SPAT,normal
53,1699941100846,1699941101069,-223.482,116.491509,39.729101,23.1,8.834,47,59.62,696E636830303000,35,53,84,3619,8000001,7,8,-120,-90,3,1,5,-120,55140,47,4264,QPSK,SPAT,normal
54,1699941100934,1699941101170,-236.333,116.491512,39.729103,23.1,8.834,47,59.62,696E636830303000,36,54,84,3619,8000001,7,8,-117,-88,5,1,5,-117,55140,47,4264,QPSK,SPAT,normal
55,1699941101034,1699941101269,-235.921,116.491515,39.729104,23.1,8.834,47,59.62,696E636830303000,37,55,84,3619,8000001,7,8,-122,-92,0,1,5,-122,55140,47,4264,QPSK,SPAT,normal
56,1699941101127,1699941101370,-243.125,116.491517,39.729105,23.0,8.778,46,58.93,696E636830303000,38,56,84,3619,8000001,7,8,-119,-90,3,1,5,-119,55140,47,4264,QPSK,SPAT,normal
57,1699941101544,1699941101771,-227.774,116.491527,39.72911,23.0,8.778,46,58.93,696E636830303000,42,57,87,3619,8000001,7,8,-119,-90,3,1,5,-119,55140,47,4264,QPSK,SPAT,normal
58,1699941101633,1699941101872,-239.226,116.491529,39.729111,23.0,8.741,46,59.63,696E636830303000,43,58,87,3619,8000001,7,8,-119,-90,3,1,5,-119,55140,47,4264,QPSK,SPAT,normal
59,1699941101878,1699941102094,-216.487,116.491535,39.729113,23.0,8.778,46,58.93,696E636830303000,45,59,88,3619,8000001,7,8,-122,-92,0,2,5,-122,55140,47,4264,QPSK,SPAT,normal
60,1699941101934,1699941102173,-239.242,116.491537,39.729115,23.0,8.778,46,58.93,,46,60,88,3619,8000001,7,8,-122,-92,0,2,5,-122,55140,47,4264,QPSK,SPAT,normal
61,1699941102038,1699941102276,-238.984,116.49154,39.729116,23.0,8.741,46,59.63,696E636830303000,47,61,88,3619,8000001,7,8,-121,-91,2,1,5,-121,55140,47,4264,QPSK,SPAT,normal
62,1699941103053,1699941103276,-223.044,116.491567,39.729127,22.9,8.76,46,60.3,696E636830303000,57,62,97,3619,8000001,7,8,-117,-89,5,1,5,-117,55140,47,4264,QPSK,SPAT,normal
63,1699941103255,1699941103477,-222.305,116.491571,39.729129,22.9,8.76,46,60.3,696E636830303000,59,63,98,3619,8000001,7,8,-119,-90,3,0,5,-119,55140,47,4264,QPSK,SPAT,normal
64,1699941103336,1699941103576,-240.87,116.491572,39.729129,22.8,8.741,47,57.44,,60,64,98,3619,8000001,7,8,-119,-90,3,0,5,-119,55140,47,4264,QPSK,SPAT,normal
65,1699941103669,1699941103878,-209.547,116.491581,39.729134,22.9,8.76,46,60.3,696E636830303000,63,65,100,3619,8000001,7,8,-122,-92,0,1,5,-122,55140,47,4264,QPSK,SPAT,normal
66,1699941103857,1699941104078,-221.507,116.491584,39.729135,22.9,8.76,46,60.3,696E636830303000,65,66,101,3619,8000001,7,8,-120,-91,2,0,5,-120,55140,47,4264,QPSK,SPAT,normal
67,1699941103950,1699941104178,-228.641,116.491587,39.729137,22.9,8.76,46,60.3,,66,67,101,3619,8000001,7,8,-124,-93,-1,1,5,-124,55140,47,4264,QPSK,SPAT,normal
68,1699941104046,1699941104279,-233.251,116.491589,39.729138,22.8,8.741,47,57.44,696E636830303000,67,68,101,3619,8000001,7,8,-120,-91,2,1,5,-120,55140,47,4264,QPSK,SPAT,normal
69,1699941104143,1699941104379,-236.147,116.491591,39.729139,22.8,8.741,47,57.44,696E636830303000,68,69,101,3619,8000001,7,8,-123,-92,-1,1,5,-123,55140,47,4264,QPSK,SPAT,normal
70,1699941104243,1699941104479,-236.467,116.491594,39.72914,22.7,8.778,47,57.45,696E636830303000,69,70,101,3619,8000001,7,8,-120,-91,2,1,5,-120,55140,47,4264,QPSK,SPAT,normal
71,1699941104873,1699941105082,-209.635,116.491609,39.729147,22.8,8.741,47,57.44,696E636830303000,75,71,106,3619,8000001,7,8,-123,-92,-1,0,5,-123,55140,47,4264,QPSK,SPAT,normal
72,1699941105059,1699941105281,-222.617,116.491614,39.72915,22.8,8.741,47,57.44,696E636830303000,77,72,107,3619,8000001,7,8,-122,-92,0,2,5,-122,55140,47,4264,QPSK,SPAT,normal
73,1699941105142,1699941105382,-240.73,116.491616,39.72915,22.7,8.797,47,57.67,,78,73,107,3619,8000001,7,8,-120,-91,3,2,5,-120,55140,47,4264,QPSK,SPAT,normal
74,1699941105363,1699941105583,-220.176,116.49162,39.729152,22.7,8.797,47,57.67,696E636830303000,80,74,108,3619,8000001,7,8,-122,-91,0,1,5,-122,55140,47,4264,QPSK,SPAT,normal
75,1699941105460,1699941105698,-238.475,116.491623,39.729154,22.7,8.778,47,57.45,696E636830303000,81,75,108,3619,8000001,7,8,-119,-90,3,1,5,-119,55140,47,4264,QPSK,SPAT,normal
76,1699941105556,1699941105790,-234.024,116.491625,39.729155,22.7,8.778,47,57.45,696E636830303000,82,76,108,3619,8000001,7,8,-122,-92,0,1,5,-122,55140,47,4264,QPSK,SPAT,normal
77,1699941105644,1699941105883,-239.752,116.491627,39.729157,22.7,8.778,47,57.45,696E636830303000,83,77,108,3619,8000001,7,8,-120,-90,2,1,5,-120,55140,47,4264,QPSK,SPAT,normal
78,1699941105745,1699941105984,-239.476,116.491629,39.729157,22.7,8.778,47,57.45,,84,78,108,3619,8000001,7,8,-119,-90,4,1,5,-119,55140,47,4264,QPSK,SPAT,normal
79,1699941105853,1699941106085,-232.661,116.491633,39.72916,22.7,8.778,47,57.45,696E636830303000,85,79,108,3619,8000001,7,8,-124,-93,-1,1,5,-124,55140,47,4264,QPSK,SPAT,normal
80,1699941105950,1699941106187,-237.036,116.491636,39.729161,22.7,8.778,47,57.45,696E636830303000,86,80,108,3619,8000001,7,8,-121,-91,2,1,5,-121,55140,47,4264,QPSK,SPAT,normal
81,1699941106046,1699941106284,-238.99,116.491637,39.729162,22.7,8.778,47,57.45,696E636830303000,87,81,108,3619,8000001,7,8,-120,-91,2,0,5,-120,55140,47,4264,QPSK,SPAT,normal
82,1699941106150,1699941106385,-235.281,116.49164,39.729163,22.7,8.778,47,57.45,696E636830303000,88,82,108,3619,8000001,7,8,-127,-94,-4,1,5,-127,55140,47,4264,QPSK,SPAT,normal
83,1699941106243,1699941106485,-242.573,116.491641,39.729164,22.7,8.834,46,59.21,,89,83,108,3619,8000001,7,8,-119,-90,3,1,5,-119,55140,47,4264,QPSK,SPAT,normal
84,1699941106564,1699941106786,-222.734,116.491651,39.729169,22.7,8.797,47,57.67,696E636830303000,92,84,110,3619,8000001,7,8,-118,-90,4,0,5,-118,55140,47,4264,QPSK,SPAT,normal
85,1699941106644,1699941106886,-242.415,116.491651,39.729169,22.7,8.834,46,59.21,,93,85,110,3619,8000001,7,8,-116,-88,6,1,5,-116,55140,47,4264,QPSK,SPAT,normal
86,1699941106873,1699941107088,-215.403,116.491658,39.729172,22.7,8.797,47,57.67,696E636830303000,95,86,111,3619,8000001,7,8,-121,-92,1,1,5,-121,55140,47,4264,QPSK,SPAT,normal
87,1699941107062,1699941107288,-226.575,116.491663,39.729175,22.7,8.797,47,57.67,696E636830303000,97,87,112,3619,8000001,7,8,-120,-91,2,1,5,-120,55140,47,4264,QPSK,SPAT,normal
88,1699941107162,1699941107393,-231.59,116.491665,39.729176,22.7,8.834,46,59.21,696E636830303000,98,88,112,3619,8000001,7,8,-122,-92,0,1,5,-122,55140,47,4264,QPSK,SPAT,normal
89,1699941107259,1699941107494,-235.684,116.491668,39.729177,22.7,8.834,46,59.21,696E636830303000,99,89,112,3619,8000001,7,8,-118,-90,4,1,5,-118,55140,47,4264,QPSK,SPAT,normal
90,1699941107351,1699941107588,-237.997,116.49167,39.729178,22.7,8.816,46,57.11,,100,90,112,3619,8000001,7,8,-115,-87,6,1,5,-115,55140,47,4264,QPSK,SPAT,normal
91,1699941107447,1699941107689,-242.489,116.491672,39.729179,22.7,8.816,46,57.11,696E636830303000,101,91,112,3619,8000001,7,8,-119,-91,3,1,5,-119,55140,47,4264,QPSK,SPAT,normal
92,1699941107553,1699941107789,-236.696,116.491676,39.729181,22.7,8.834,46,59.21,696E636830303000,102,92,112,3619,8000001,7,8,-120,-91,1,1,5,-120,55140,47,4264,QPSK,SPAT,normal
93,1699941107648,1699941107890,-242.613,116.491678,39.729182,22.7,8.816,46,57.11,696E636830303000,103,93,112,3619,8000001,7,8,-115,-87,6,1,5,-115,55140,47,4264,QPSK,SPAT,normal
94,1699941107973,1699941108190,-217.784,116.491686,39.729186,22.7,8.834,46,59.21,696E636830303000,106,94,114,3619,8000001,7,8,-124,-93,-1,2,5,-124,55140,47,4264,QPSK,SPAT,normal
95,1699941108050,1699941108291,-241.354,116.491687,39.729186,22.7,8.834,46,59.21,,107,95,114,3619,8000001,7,8,-118,-90,4,1,5,-118,55140,47,4264,QPSK,SPAT,normal
96,1699941108154,1699941108391,-237.761,116.49169,39.729188,22.6,8.871,46,58.5,,108,96,114,3619,8000001,7,8,-116,-88,5,1,5,-116,55140,47,4264,QPSK,SPAT,normal
97,1699941108255,1699941108491,-236.998,116.491693,39.729189,22.7,8.816,46,57.11,696E636830303000,109,97,114,3619,8000001,7,8,-119,-90,3,1,5,-119,55140,47,4264,QPSK,SPAT,normal
98,1699941108359,1699941108593,-234.687,116.491695,39.72919,22.7,8.816,46,57.11,696E636830303000,110,98,114,3619,8000001,7,8,-118,-90,4,2,5,-118,55140,47,4264,QPSK,SPAT,normal
99,1699941108455,1699941108692,-237.865,116.491697,39.729191,22.6,8.871,46,58.5,,111,99,114,3619,8000001,7,8,-122,-92,1,0,5,-122,55140,47,4264,QPSK,SPAT,normal
100,1699941108556,1699941108793,-237.16,116.4917,39.729192,22.7,8.816,46,57.11,696E636830303000,112,100,114,3619,8000001,7,8,-117,-89,5,0,5,-117,55140,47,4264,QPSK,SPAT,normal
101,1699941108652,1699941108893,-241.474,116.491702,39.729193,22.7,8.816,46,57.11,,113,101,114,3619,8000001,7,8,-119,-90,3,0,5,-119,55140,47,4264,QPSK,SPAT,normal
102,1699941108765,1699941109002,-237.549,116.491705,39.729195,22.7,8.816,46,57.11,696E636830303000,114,102,114,3619,8000001,7,8,-118,-89,5,2,5,-118,55140,47,4264,QPSK,SPAT,normal
103,1699941108861,1699941109099,-238.889,116.491707,39.729196,22.7,8.816,46,57.11,696E636830303000,115,103,114,3619,8000001,7,8,-120,-91,2,0,5,-120,55140,47,4264,QPSK,SPAT,normal
104,1699941108957,1699941109194,-237.947,116.49171,39.729197,22.7,8.816,46,57.11,696E636830303000,116,104,114,3619,8000001,7,8,-119,-90,4,0,5,-119,55140,47,4264,QPSK,SPAT,normal
105,1699941109054,1699941109295,-241.098,116.491711,39.729198,22.6,8.871,46,58.5,,117,105,114,3619,8000001,7,8,-117,-88,5,0,5,-117,55140,47,4264,QPSK,SPAT,normal
106,1699941109162,1699941109395,-233.472,116.491713,39.729199,22.7,8.853,45,56.41,696E636830303000,118,106,114,3619,8000001,7,8,-114,-86,8,1,5,-114,55140,47,4264,QPSK,SPAT,normal
107,1699941109254,1699941109495,-241.812,116.491716,39.7292,22.7,8.853,45,56.41,,119,107,114,3619,8000001,7,8,-114,-86,8,1,5,-114,55140,47,4264,QPSK,SPAT,normal
108,1699941109359,1699941109596,-237.401,116.491718,39.729202,22.6,8.871,46,58.5,696E636830303000,120,108,114,3619,8000001,7,8,-118,-90,4,1,5,-118,55140,47,4264,QPSK,SPAT,normal
109,1699941109463,1699941109699,-236.207,116.491722,39.729203,22.6,8.871,46,58.5,696E636830303000,121,109,114,3619,8000001,7,8,-117,-88,5,1,5,-117,55140,47,4264,QPSK,SPAT,normal
110,1699941109560,1699941109796,-236.68,116.491725,39.729205,22.6,8.871,46,58.5,,122,110,114,3619,8000001,7,8,-116,-88,6,0,5,-116,55140,47,4264,QPSK,SPAT,normal
111,1699941109660,1699941109896,-236.569,116.491726,39.729205,22.6,8.871,46,58.5,,123,111,114,3619,8000001,7,8,-119,-90,3,1,5,-119,55140,47,4264,QPSK,SPAT,normal
112,1699941109760,1699941109997,-237.115,116.491728,39.729207,22.7,8.853,45,56.41,696E636830303000,124,112,114,3619,8000001,7,8,-118,-89,4,0,5,-118,55140,47,4264,QPSK,SPAT,normal
113,1699941109861,1699941110097,-236.388,116.491731,39.729208,22.6,8.871,46,58.5,696E636830303000,125,113,114,3619,8000001,7,8,-122,-92,0,1,5,-122,55140,47,4264,QPSK,SPAT,normal
114,1699941109961,1699941110197,-236.766,116.491734,39.72921,22.6,8.871,46,58.5,696E636830303000,126,114,114,3619,8000001,7,8,-119,-90,3,2,5,-119,55140,47,4264,QPSK,SPAT,normal
115,1699941110058,1699941110298,-240.061,116.491735,39.72921,22.7,8.908,46,56.79,,127,115,114,3619,8000001,7,8,-118,-89,4,1,5,-118,55140,47,4264,QPSK,SPAT,normal
116,1699941110162,1699941110398,-236.612,116.491737,39.729211,22.7,8.853,45,56.41,696E636830303000,1,116,115,3619,8000001,7,8,-113,-86,8,0,5,-113,55140,47,4264,QPSK,SPAT,normal
117,1699941110258,1699941110498,-240.586,116.491739,39.729212,22.7,8.908,46,56.79,,2,117,115,3619,8000001,7,8,-116,-87,6,1,5,-116,55140,47,4264,QPSK,SPAT,normal
118,1699941110363,1699941110598,-235.965,116.491741,39.729213,22.7,8.853,45,56.41,696E636830303000,3,118,115,3619,8000001,7,8,-117,-89,4,1,5,-117,55140,47,4264,QPSK,SPAT,normal
119,1699941110468,1699941110699,-231.565,116.491744,39.729214,22.7,8.853,45,56.41,696E636830303000,4,119,115,3619,8000001,7,8,-115,-87,6,0,5,-115,55140,47,4264,QPSK,SPAT,normal
120,1699941110568,1699941110801,-233.54,116.491747,39.729216,22.7,8.853,45,56.41,696E636830303000,5,120,115,3619,8000001,7,8,-118,-89,4,1,5,-118,55140,47,4264,QPSK,SPAT,normal
121,1699941110660,1699941110899,-239.751,116.491749,39.729216,22.7,8.908,46,56.79,,6,121,115,3619,8000001,7,8,-115,-87,7,1,5,-115,55140,47,4264,QPSK,SPAT,normal
122,1699941110764,1699941111000,-236.331,116.491752,39.729218,22.7,8.853,45,56.41,696E636830303000,7,122,115,3619,8000001,7,8,-118,-89,4,1,5,-118,55140,47,4264,QPSK,SPAT,normal
123,1699941110869,1699941111105,-236.252,116.491754,39.729219,22.7,8.853,45,56.41,,8,123,115,3619,8000001,7,8,-116,-88,5,1,5,-116,55140,47,4264,QPSK,SPAT,normal
124,1699941110958,1699941111200,-242.95,116.491756,39.72922,22.7,8.853,45,56.41,696E636830303000,9,124,115,3619,8000001,7,8,-117,-89,5,1,5,-117,55140,47,4264,QPSK,SPAT,normal
125,1699941111062,1699941111301,-239.153,116.491759,39.729221,22.7,8.853,45,56.41,696E636830303000,10,125,115,3619,8000001,7,8,-116,-87,6,1,5,-116,55140,47,4264,QPSK,SPAT,normal
126,1699941111278,1699941111501,-223.622,116.491763,39.729223,22.7,8.908,46,56.79,696E636830303000,12,126,116,3619,8000001,7,8,-114,-86,8,1,5,-114,55140,47,4264,QPSK,SPAT,normal
127,1699941111359,1699941111602,-243.287,116.491765,39.729224,22.7,8.908,46,56.79,696E636830303000,13,127,116,3619,8000001,7,8,-116,-88,6,1,5,-116,55140,47,4264,QPSK,SPAT,normal
128,1699941111468,1699941111702,-234.359,116.491768,39.729226,22.7,8.908,46,56.79,696E636830303000,14,128,116,3619,8000001,7,8,-121,-91,1,1,5,-121,55140,47,4264,QPSK,SPAT,normal
129,1699941111572,1699941111802,-230.961,116.491771,39.729228,22.7,8.908,46,56.79,,15,129,116,3619,8000001,7,8,-118,-89,4,1,5,-118,55140,47,4264,QPSK,SPAT,normal
130,1699941111668,1699941111902,-234.772,116.491774,39.72923,22.7,8.908,46,56.79,696E636830303000,16,130,116,3619,8000001,7,8,-115,-87,7,1,5,-115,55140,47,4264,QPSK,SPAT,normal
131,1699941111768,1699941112004,-236.278,116.491778,39.729232,22.7,8.908,46,56.79,,17,131,116,3619,8000001,7,8,-113,-85,9,1,5,-113,55140,47,4264,QPSK,SPAT,normal
132,1699941111865,1699941112106,-241.43,116.49178,39.729233,22.7,8.908,46,56.79,696E636830303000,18,132,116,3619,8000001,7,8,-113,-85,9,1,5,-113,55140,47,4264,QPSK,SPAT,normal
133,1699941111961,1699941112203,-242.711,116.491782,39.729234,22.7,8.908,46,56.79,696E636830303000,19,133,116,3619,8000001,7,8,-111,-83,11,1,5,-111,55140,47,4264,QPSK,SPAT,normal
134,1699941112065,1699941112304,-239.911,116.491784,39.729235,22.7,8.89,46,56.06,696E636830303000,20,134,116,3619,8000001,7,8,-119,-90,4,1,5,-119,55140,47,4264,QPSK,SPAT,normal
135,1699941112282,1699941112504,-222.968,116.491788,39.729237,22.7,8.89,46,56.06,696E636830303000,22,135,117,3619,8000001,7,8,-117,-89,5,1,5,-117,55140,47,4264,QPSK,SPAT,normal
